Unit.UnitI,Unit.Taxon,Unit.Quali,Unit.Qua_1,Unit.Qua_2,Unit.Qua_3,Unit.Qua_4,Unit.Qua_5,Unit.Repor,Taxon.ID,Taxon.Scie,Taxon.Finn,Taxon.Engl,Taxon.Swed,Unit.NameA,Unit.Abund,Unit.Inter,Unit.Int_1,Unit.Recor,Unit.Detai,Unit.TypeS,Unit.Det,Unit.Sex,Unit.LifeS,Unit.Nativ,Unit.Breed,Unit.Indiv,Unit.Invas,Unit.Notes,Unit.Annot,Unit.Media,Gathering.,Gatherin_1,Gatherin_2,Gatherin_3,Gatherin_4,Gatherin_5,Gatherin_6,Gatherin_7,Gatherin_8,Gatherin_9,Gatherin10,Gatherin11,Gatherin12,Gatherin13,Gatherin14,Gatherin15,Gatherin16,Gatherin17,Gatherin18,Gatherin19,Gatherin20,Gatherin21,Gatherin22,Gatherin23,Gatherin24,Gatherin25,Gatherin26,Gatherin27,Gatherin28,Gatherin29,Gatherin30,Gatherin31,Gatherin32,Gatherin33,Gatherin34,Gatherin35,Gatherin36,Gatherin37,Gatherin38,Gatherin39,Gatherin40,Gatherin41,Gatherin42,Gatherin43,Gatherin44,Gatherin45,Gatherin46,Gatherin47,Gatherin48,Gatherin49,Gatherin50,Gatherin51,Gatherin52,Gatherin53,Gatherin54,Gatherin55,Gatherin56,Document.D,Document_1,Document_2,Document_3,Document.P,Document.C,Document.Q,Document_4,Document_5,Document_6,Document.S,Document.N,Document.K,Document.F,Document.L,Document_7,Document.M,Document_8,Document_9,B4,B2,B5,B3,B6,B7,B16,B17,B14,B15,B12,B13,B10,B11,B19,B8,B9,B18,B1
http://tun.fi/MY.181128,Tringa nebularia,,,,RELIABLE,COLLECTION_QUALITY_RATING,,,http://tun.fi/MX.27622,Tringa nebularia,valkoviklo,Common Greenshank,gluttsnäppa,,,,,PRESERVED_SPECIMEN,PRESERVED_SPECIMEN,FALSE,,,,,,,,,0,0,http://tun.fi/MY.181127,,,,,,,,,,,,,,,,62.934518,62.934527,26.40948,26.4095,62.934522,26.40949,6981356,6981357,3470181,3470182,6978431,6978432,470022,470023,698,347,6981,3470,,,,,,,,1,REPORTED_VALUE,Suomi,Pohjois-Häme (PH),Vesanto,COORDINATES,COORDINATES,COORDINATES,,FI,Vesanto,,,,,0,http://id.luomus.fi/KA.L0438,PUBLIC,NONE,,FALSE,http://tun.fi/HR.122,4,,,,http://tun.fi/KE.3,,http://tun.fi/GX.16,,,8/23/2012,8/23/2012,"Löytynyt ansasta. Saatu nahkana. Oikea jalka poikki, jäänyt piisaminrautoihin.",0,9033,77,207,22,-136,343,218,96,31,31,607,83,145,-90,118,127,-44,212,26
http://tun.fi/JX.15417#7,valkoviklo,,,,NEUTRAL,,,SURE,http://tun.fi/MX.27622,Tringa nebularia,valkoviklo,Common Greenshank,gluttsnäppa,,20,,20,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_UNSPECIFIED,FALSE,,,,,,,,"m, N",0,0,http://tun.fi/JX.15417#2,,,,,,,,,,5/15/1994,5/15/1994,,,5/15/1994,Kari Puumalainen,60.944591,60.944591,26.44492,26.44492,60.944591,26.44492,6759579,6759580,3470084,3470085,6756743,6756744,469926,469927,675,347,6759,3470,1900,1990,1994,5,15,135,135,1,REPORTED_VALUE,Suomi,Etelä-Häme (EH),Iitti,COORDINATES,COORDINATES,COORDINATES,,,,,,"Iitti, Lyöttilä Mukulanlahti",,0,http://tun.fi/JX.15417,PUBLIC,NONE,,FALSE,http://tun.fi/HR.1747,2,,,,http://tun.fi/KE.388,,http://tun.fi/JX.519,,,9/13/2017,9/13/2017,,0,8707,73,216,22,-110,326,217,101,31,30,626,81,157,-68,123,140,-25,196,43
http://tun.fi/JX.16556#4,valkoviklo,,,,NEUTRAL,,,SURE,http://tun.fi/MX.27622,Tringa nebularia,valkoviklo,Common Greenshank,gluttsnäppa,,1,,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_UNSPECIFIED,FALSE,,,,,,,,p,0,0,http://tun.fi/JX.16556#2,,,,,,,,,,4/18/2000,4/18/2000,,,4/18/2000,Kari Puumalainen,60.917563,60.917563,26.326108,26.326108,60.917563,26.326108,6756627,6756628,3463613,3463614,6753793,6753794,463458,463459,675,346,6756,3463,2000,2000,2000,4,18,109,109,1,REPORTED_VALUE,Suomi,Etelä-Häme (EH),Iitti,COORDINATES,COORDINATES,COORDINATES,,,,,,"Iitti, Kausala Lietteensalmi",,0,http://tun.fi/JX.16556,PUBLIC,NONE,,FALSE,http://tun.fi/HR.1747,2,,,,http://tun.fi/KE.388,,http://tun.fi/JX.519,,,9/28/2017,9/28/2017,,0,8686,73,215,22,-111,326,217,101,31,30,629,81,156,-69,124,139,-26,197,42
http://tun.fi/JX.9247#10,trineb,,,,NEUTRAL,,,SURE,http://tun.fi/MX.27622,Tringa nebularia,valkoviklo,Common Greenshank,gluttsnäppa,,1p,,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_UNSPECIFIED,FALSE,,,,,,,,,0,0,http://tun.fi/JX.9247#9,,,,,,,,,,4/29/2017,4/29/2017,,,4/29/2017,Mikko Heikkinen; Inka Plit,60.193308,60.193308,24.815304,24.815304,60.193308,24.815304,6677747,6677748,3378990,3378991,6674944,6674945,378869,378870,667,337,6677,3378,2000,2010,2017,4,29,119,119,1,REPORTED_VALUE,Suomi,Uusimaa (U),Espoo,COORDINATES,COORDINATES,COORDINATES,,,,,,Laajalahti,Maarin torni,0,http://tun.fi/JX.9247,PUBLIC,NONE,,TRUE,http://tun.fi/HR.1747,2,,,,http://tun.fi/KE.388,,http://tun.fi/JX.519,,,4/29/2017,4/29/2017,,0,8050,65,211,21,-87,298,220,102,32,31,643,78,159,-47,133,146,-16,197,52
http://tun.fi/KE.67/100059#Unit,TRINEB,,,,RELIABLE,COLLECTION_QUALITY_RATING,,,http://tun.fi/MX.27622,Tringa nebularia,valkoviklo,Common Greenshank,gluttsnäppa,,1,,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_HANDLED,FALSE,,,JUVENILE,,TRUE,http://tun.fi/A.A4C7E8F99659DA44CA64C9FCF869B1EB,,,0,0,http://tun.fi/KE.67/100059#Gathering,,,,,,,,,,6/11/1987,6/11/1987,,,6/11/1987,,63.192504,63.193455,22.95201,22.953866,63.192979,22.952938,7016400,7016500,3296500,3296600,7013460,7013560,296411,296511,701,329,7016,3296,1900,1980,1987,6,11,162,162,100,REPORTED_VALUE,Suomi,Keski-Pohjanmaa (KP),Kauhava,COORDINATES,COORDINATES,COORDINATES,,FINLAND,ALAHÄRMÄ,,VAASA,,,0,http://tun.fi/KE.67/100059,PUBLIC,NONE,CUSTOM,FALSE,http://tun.fi/HR.48,4,,,,http://tun.fi/KE.67,,,,,,,,0,8537,88,207,25,-133,340,200,85,26,32,551,74,139,-82,105,124,-40,184,27
http://tun.fi/KE.67/100375#Unit,TRINEB,,,,RELIABLE,COLLECTION_QUALITY_RATING,,,http://tun.fi/MX.27622,Tringa nebularia,valkoviklo,Common Greenshank,gluttsnäppa,,1,,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_HANDLED,FALSE,,,ADULT,,FALSE,http://tun.fi/A.F598C012B696AD093F4E0AFEED2A0C50,,,0,0,http://tun.fi/KE.67/100375#Gathering,,,,,,,,,,7/17/1991,7/17/1991,7,,1991-07-17 [7],,63.146093,63.14698,27.712613,27.714618,63.146536,27.713616,7005000,7005100,3536100,3536200,7002066,7002166,535915,536015,700,353,7005,3536,1900,1990,1991,7,17,198,198,100,REPORTED_VALUE,Suomi,Pohjois-Savo (PS),Siilinjärvi,COORDINATES,COORDINATES,COORDINATES,,FINLAND,SIILINJÄRVI,,KUOPIO,,,0,http://tun.fi/KE.67/100375,PUBLIC,NONE,CUSTOM,FALSE,http://tun.fi/HR.48,4,,,,http://tun.fi/KE.67,,,,,,,,0,9262,74,208,21,-136,344,216,101,32,29,617,82,148,-92,121,131,-45,211,26
http://tun.fi/KE.67/100383#Unit,TRINEB,,,,RELIABLE,COLLECTION_QUALITY_RATING,,,http://tun.fi/MX.27622,Tringa nebularia,valkoviklo,Common Greenshank,gluttsnäppa,,1,,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_HANDLED,FALSE,,,ADULT,,FALSE,http://tun.fi/A.8431A39B772284D492418411BB928380,,,0,0,http://tun.fi/KE.67/100383#Gathering,,,,,,,,,,7/21/1992,7/21/1992,20,,1992-07-21 [20],,63.146093,63.14698,27.712613,27.714618,63.146536,27.713616,7005000,7005100,3536100,3536200,7002066,7002166,535915,536015,700,353,7005,3536,1900,1990,1992,7,21,203,203,100,REPORTED_VALUE,Suomi,Pohjois-Savo (PS),Siilinjärvi,COORDINATES,COORDINATES,COORDINATES,,FINLAND,SIILINJÄRVI,,KUOPIO,,,0,http://tun.fi/KE.67/100383,PUBLIC,NONE,CUSTOM,FALSE,http://tun.fi/HR.48,4,,,,http://tun.fi/KE.67,,,,,,,,0,9262,74,208,21,-136,344,216,101,32,29,617,82,148,-92,121,131,-45,211,26
http://tun.fi/KE.67/100732#Unit,TRINEB,,,,RELIABLE,COLLECTION_QUALITY_RATING,,,http://tun.fi/MX.27622,Tringa nebularia,valkoviklo,Common Greenshank,gluttsnäppa,,1,,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_HANDLED,FALSE,,,JUVENILE,,TRUE,http://tun.fi/A.AF32546B890BA141641527DA0C248018,,,0,0,http://tun.fi/KE.67/100732#Gathering,,,,,,,,,,7/4/1992,7/4/1992,,,7/4/1992,,64.130144,64.13104,27.115569,27.117626,64.130592,27.116598,7114500,7114600,3505800,3505900,7111522,7111622,505626,505726,711,350,7114,3505,1900,1990,1992,7,4,186,186,100,REPORTED_VALUE,Suomi,Kainuu (Kn),Kajaani,COORDINATES,COORDINATES,COORDINATES,,FINLAND,VUOLIJOKI,,OULU,,,0,http://tun.fi/KE.67/100732,PUBLIC,NONE,CUSTOM,FALSE,http://tun.fi/HR.48,4,,,,http://tun.fi/KE.67,,,,,,,,0,9394,83,204,23,-156,360,207,85,27,34,558,78,138,-106,101,121,-57,206,15
http://tun.fi/KE.67/100840#Unit,TRINEB,,,,RELIABLE,COLLECTION_QUALITY_RATING,,,http://tun.fi/MX.27622,Tringa nebularia,valkoviklo,Common Greenshank,gluttsnäppa,,1,,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_HANDLED,FALSE,,,JUVENILE,,TRUE,http://tun.fi/A.E1E9858CFEE61B534D85D717E8A04FF1,,,0,0,http://tun.fi/KE.67/100840#Gathering,,,,,,,,,,6/20/1986,6/20/1986,,,6/20/1986,,61.313995,61.314876,28.195243,28.197144,61.314436,28.196193,6801200,6801300,3564200,3564300,6798348,6798448,564004,564104,680,356,6801,3564,1900,1980,1986,6,20,171,171,100,REPORTED_VALUE,Suomi,Etelä-Savo (ES),Taipalsaari,COORDINATES,COORDINATES,COORDINATES,,FINLAND,TAIPALSAARI,,KYMI,,,0,http://tun.fi/KE.67/100840,PUBLIC,NONE,CUSTOM,FALSE,http://tun.fi/HR.48,4,,,,http://tun.fi/KE.67,,,,,,,,0,8968,73,216,22,-115,331,222,107,34,29,651,84,155,-76,136,139,-32,204,37
http://tun.fi/KE.67/100964#Unit,TRINEB,,,,RELIABLE,COLLECTION_QUALITY_RATING,,,http://tun.fi/MX.27622,Tringa nebularia,valkoviklo,Common Greenshank,gluttsnäppa,,1,,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_HANDLED,FALSE,,,JUVENILE,,TRUE,http://tun.fi/A.1FE3655AC5BE1FB10FC1404F93692551,,,0,0,http://tun.fi/KE.67/100964#Gathering,,,,,,,,,,6/29/1993,6/29/1993,,,6/29/1993,,63.798254,63.799126,28.766021,28.768105,63.79869,28.767063,7078700,7078800,3587200,3587300,7075736,7075836,586994,587094,707,358,7078,3587,1900,1990,1993,6,29,180,180,100,REPORTED_VALUE,Suomi,Pohjois-Karjala (PK),Valtimo,COORDINATES,COORDINATES,COORDINATES,,FINLAND,VALTIMO,,KUOPIO,,,0,http://tun.fi/KE.67/100964,PUBLIC,NONE,CUSTOM,FALSE,http://tun.fi/HR.48,4,,,,http://tun.fi/KE.67,,,,,,,,0,9575,79,204,22,-155,359,217,97,31,31,607,81,141,-108,113,141,-60,217,14
http://tun.fi/KE.67/101379#Unit,TRINEB,,,,RELIABLE,COLLECTION_QUALITY_RATING,,,http://tun.fi/MX.27622,Tringa nebularia,valkoviklo,Common Greenshank,gluttsnäppa,,1,,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_HANDLED,FALSE,,,ADULT,,FALSE,http://tun.fi/A.BB8BA01F71164159BABE63B3BCA25A68,,,0,0,http://tun.fi/KE.67/101379#Gathering,,,,,,,,,,8/12/1990,8/12/1990,9,,1990-08-12 [9],,62.614418,62.615277,29.681299,29.683326,62.614847,29.682313,6948400,6948500,3637800,3637900,6945489,6945589,637574,637674,694,363,6948,3637,1900,1990,1990,8,12,224,224,100,REPORTED_VALUE,Suomi,Pohjois-Karjala (PK),Joensuu,COORDINATES,COORDINATES,COORDINATES,,FINLAND,JOENSUU,,KUOPIO,,,0,http://tun.fi/KE.67/101379,PUBLIC,NONE,CUSTOM,FALSE,http://tun.fi/HR.48,4,,,,http://tun.fi/KE.67,,,,,,,,0,9478,78,213,21,-143,356,220,97,30,32,616,82,150,-97,115,132,-48,214,25
http://tun.fi/KE.67/101401#Unit,TRINEB,,,,RELIABLE,COLLECTION_QUALITY_RATING,,,http://tun.fi/MX.27622,Tringa nebularia,valkoviklo,Common Greenshank,gluttsnäppa,,1,,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_HANDLED,FALSE,,,ADULT,,FALSE,http://tun.fi/A.B5D01BCFD2E9B71CDEF57FA6FD5FD322,,,0,0,http://tun.fi/KE.67/101401#Gathering,,,,,,,,,,7/30/1991,7/30/1991,9,,1991-07-30 [9],,62.614418,62.615277,29.681299,29.683326,62.614847,29.682313,6948400,6948500,3637800,3637900,6945489,6945589,637574,637674,694,363,6948,3637,1900,1990,1991,7,30,211,211,100,REPORTED_VALUE,Suomi,Pohjois-Karjala (PK),Joensuu,COORDINATES,COORDINATES,COORDINATES,,FINLAND,JOENSUU,,KUOPIO,,,0,http://tun.fi/KE.67/101401,PUBLIC,NONE,CUSTOM,FALSE,http://tun.fi/HR.48,4,,,,http://tun.fi/KE.67,,,,,,,,0,9478,78,213,21,-143,356,220,97,30,32,616,82,150,-97,115,132,-48,214,25
http://tun.fi/KE.67/101409#Unit,TRINEB,,,,RELIABLE,COLLECTION_QUALITY_RATING,,,http://tun.fi/MX.27622,Tringa nebularia,valkoviklo,Common Greenshank,gluttsnäppa,,1,,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_HANDLED,FALSE,,,ADULT,,FALSE,http://tun.fi/A.EC367FED5004F3A16D6881AB6DE08E9F,,,0,0,http://tun.fi/KE.67/101409#Gathering,,,,,,,,,,8/9/1994,8/9/1994,10,,1994-08-09 [10],,62.614418,62.615277,29.681299,29.683326,62.614847,29.682313,6948400,6948500,3637800,3637900,6945489,6945589,637574,637674,694,363,6948,3637,1900,1990,1994,8,9,221,221,100,REPORTED_VALUE,Suomi,Pohjois-Karjala (PK),Joensuu,COORDINATES,COORDINATES,COORDINATES,,FINLAND,JOENSUU,,KUOPIO,,,0,http://tun.fi/KE.67/101409,PUBLIC,NONE,CUSTOM,FALSE,http://tun.fi/HR.48,4,,,,http://tun.fi/KE.67,,,,,,,,0,9478,78,213,21,-143,356,220,97,30,32,616,82,150,-97,115,132,-48,214,25
http://tun.fi/KE.67/101449#Unit,TRINEB,,,,RELIABLE,COLLECTION_QUALITY_RATING,,,http://tun.fi/MX.27622,Tringa nebularia,valkoviklo,Common Greenshank,gluttsnäppa,,1,,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_HANDLED,FALSE,,,ADULT,,FALSE,http://tun.fi/A.1274AFD428AC51537C6FFB7468561AEB,,,0,0,http://tun.fi/KE.67/101449#Gathering,,,,,,,,,,7/29/1987,7/29/1987,10,,1987-07-29 [10],,60.197432,60.198358,24.818818,24.82056,60.197895,24.819689,6678200,6678300,3379200,3379300,6675397,6675497,379079,379179,667,337,6678,3379,1900,1980,1987,7,29,210,210,100,REPORTED_VALUE,Suomi,Uusimaa (U),Espoo,COORDINATES,COORDINATES,COORDINATES,,FINLAND,ESPOO,,UUSIMAA,,,0,http://tun.fi/KE.67/101449,PUBLIC,NONE,CUSTOM,FALSE,http://tun.fi/HR.48,4,,,,http://tun.fi/KE.67,,,,,,,,0,8039,65,211,21,-87,298,220,102,32,31,643,78,159,-47,133,145,-16,197,52
